,texto
0,"The studio was ﬁlled with the rich odour of roses, and when the light summer wind stirred amidst the trees of"
1,"the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the"
2,pink-flowering thorn.
3,"From the corner of the divan of Persian saddle-bags on which he was lying, smoking, as was his custom,"
4,"innumerable cigarettes, Lord Henry Wotton could just catch the gleam of the honey-sweet and honey-coloured"
5,"blossoms of a laburnum, whose tremulous branches seemed hardly able to bear the burden of a beauty so"
6,ﬂamelike as theirs; and now and then the fantastic shadows of birds in ﬂight ﬂitted across the long tussore-silk
7,"curtains that were stretched in front of the huge window, producing a kind of momentary Japanese eﬀect, and"
8,"making him think of those pallid, jade-faced painters of Tokyo who, through the medium of an art that is"
9,"necessarily immobile, seek to convey the sense of swiftness and motion. The sullen murmur of the bees"
10,"shouldering their way through the long unmown grass, or circling with monotonous insistence round the dusty"
11,"gilt horns of the straggling woodbine, seemed to make the stillness more oppressive. The dim roar of London"
12,was like the bourdon note of a distant organ.
13,"In the centre of the room, clamped to an upright easel, stood the full-length portrait of a young man of"
14,"extraordinary personal beauty, and in front of it, some little distance away, was sitting the artist himself, Basil"
15,"Hallward, whose sudden disappearance some years ago caused, at the time, such public excitement and gave"
16,rise to so many strange conjectures.
17,"As the painter looked at the gracious and comely form he had so skilfully mirrored in his art, a smile of"
18,"pleasure passed across his face, and seemed about to linger there. But he suddenly started up, and closing his"
19,"eyes, placed his ﬁngers upon the lids, as though he sought to imprison within his brain some curious dream"
20,from which he feared he might awake.
21,"“It is your best work, Basil, the best thing you have ever done,” said Lord Henry languidly. “You must certainly"
22,"send it next year to the Grosvenor. The Academy is too large and too vulgar. Whenever I have gone there,"
23,"there have been either so many people that I have not been able to see the pictures, which was dreadful, or so"
24,"many pictures that I have not been able to see the people, which was worse. The Grosvenor is really the only"
25,place.”
26,"“I don’t think I shall send it anywhere,” he answered, tossing his head back in that odd way that used to make"
27,"his friends laugh at him at Oxford. “No, I won’t send it anywhere.”"
28,Lord Henry elevated his eyebrows and looked at him in amazement through the thin blue wreaths of smoke
29,"that curled up in such fanciful whorls from his heavy, opium-tainted cigarette. “Not send it anywhere? My dear"
30,"fellow, why? Have you any reason? What odd chaps you painters are! You do anything in the world to gain a"
31,"reputation. As soon as you have one, you seem to want to throw it away. It is silly of you, for there is only one"
32,"thing in the world worse than being talked about, and that is not being talked about. A portrait like this would set"
33,"you far above all the young men in England, and make the old men quite jealous, if old men are ever capable of"
34,any emotion.”
35,"“I know you will laugh at me,” he replied, “but I really can’t exhibit it. I have put too much of myself into it.”"
36,Lord Henry stretched himself out on the divan and laughed.
